IDENTIFIER	SMILES	time	dupl
Phosphatidylcholine_lyso_alkyl_18:0	InChI=1S/C26H56NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-26(24-28)25-33-34(29,30)32-23-21-27(2,3)4/h26,28H,5-25H2,1-4H3	312.0	no
Phosphatidylethanolamine_16:0-20:4	InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h13,15,18-19,22,24,28,30,39H,3-12,14,16-17,20-21,23,25-27,29,31-38,42H2,1-2H3,(H,45,46)/b15-13-,19-18-,24-22-,30-28-	1150.8	yes
Phosphatidylethanolamine_15:0-22:6	InChI=1S/C42H72NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43)38-48-41(44)34-32-30-28-26-24-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,23,25,29,31,40H,3-4,6,8-10,12,14-16,19,22,24,26-28,30,32-39,43H2,1-2H3,(H,46,47)/b7-5-,13-11-,18-17-,21-20-,25-23-,31-29-	871.2	yes
Phosphatidylcholine_lyso_alkyl_16:0	InChI=1S/C24H52NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-24(22-26)23-31-32(27,28)30-21-19-25(2,3)4/h24,26H,5-23H2,1-4H3	196.8	no
Phosphatidylethanolamine_16:0-18:3	InChI=1S/C39H72NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h15,17,20,22,26,28,37H,3-14,16,18-19,21,23-25,27,29-36,40H2,1-2H3,(H,43,44)/b17-15-,22-20-,28-26-	1024.2	yes
Phosphatidylcholine_alkenyl_16:0-20:4	InChI=1S/C44H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h16,18,22-23,25,27,31,33,36,39,43H,6-15,17,19-21,24,26,28-30,32,34-35,37-38,40-42H2,1-5H3/b18-16-,23-22-,27-25-,33-31-,39-36+	1272.0	yes
Phosphatidylcholine_22:0-18:2	InChI=1S/C48H92NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-26-21-19-17-15-13-11-9-7-2/h29,31,35,37,46H,6-28,30,32-34,36,38-45H2,1-5H3/b31-29-,37-35-	2641.8	yes
Phosphatidylcholine_lyso_16:1	InChI=1S/C24H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)32-23(21-26)22-31-33(28,29)30-20-19-25(2,3)4/h15-16,23,26H,5-14,17-22H2,1-4H3/b16-15-	117.6	yes
Phosphatidylcholine_20:0-20:4	InChI=1S/C48H88NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19,23,25,29,31,35,37,46H,6-16,18,20-22,24,26-28,30,32-34,36,38-45H2,1-5H3/b19-17-,25-23-,31-29-,37-35-	2079.6	yes
Phosphatidylcholine_alkenyl_16:0-22:6	InChI=1S/C46H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-46(48)54-45(44-53-55(49,50)52-42-40-47(3,4)5)43-51-41-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,27,29,33,35,38,41,45H,6-7,9,11-13,15,17-19,21,23,26,28,30-32,34,36-37,39-40,42-44H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,29-27-,35-33-,41-38+	1145.4	yes
